Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR3428699,2019-07-12 08:35:54,2019-07-12 15:26:32,63491,19110791,0,301,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/ERR3428699/ERR3428699.1,ERX3452136,unspecified,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP113854,PRJEB31310,,530491,ERS3569709,SAMEA5766159,simple,1263854,anaerobic digester metagenome,SAMEA5766159,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2036019,,public,D5B259305FC2CE24EB6ECE3D285D76B9,02AEFA808F3D31383FCE7E92E986EDBE
ERR3428700,2019-07-12 08:35:54,2019-07-12 15:26:31,44368,13354768,0,301,7,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR3428/ERR3428700,ERX3452137,unspecified,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP113854,PRJEB31310,,530491,ERS3569710,SAMEA5766160,simple,1263854,anaerobic digester metagenome,SAMEA5766160,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2036019,,public,F6AB66CB6EA24F5B5A938D2B2F2CB7D7,9E83CCCD5CD05037772DB69849FF2F8F
ERR3428701,2019-07-12 08:35:54,2019-07-12 15:26:43,34111,10267411,0,301,5,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR3428/ERR3428701,ERX3452138,unspecified,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP113854,PRJEB31310,,530491,ERS3569711,SAMEA5766161,simple,1263854,anaerobic digester metagenome,SAMEA5766161,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2036019,,public,B78CE2FCBA675B739C06D7625FA56DFB,BF22CF07007DC5D614A1870D321F6488
ERR3428702,2019-07-12 08:35:54,2019-07-12 15:26:45,94259,28371959,0,301,15,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/ERR3428702/ERR3428702.1,ERX3452139,unspecified,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP113854,PRJEB31310,,530491,ERS3569712,SAMEA5766162,simple,1263854,anaerobic digester metagenome,SAMEA5766162,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2036019,,public,A86F4E8D2DD03C93A32E1D01BBFEF216,EC20293ACFF448330001A9401393D75A
ERR3428703,2019-07-12 08:35:54,2019-07-12 15:26:55,33912,10207512,0,301,5,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR3428/ERR3428703,ERX3452140,unspecified,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP113854,PRJEB31310,,530491,ERS3569713,SAMEA5766163,simple,1263854,anaerobic digester metagenome,SAMEA5766163,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2036019,,public,42A4B9D39C9E864B0CB284D742175DA3,C19A8CC19E0A92F06025C7F2C83A6F73
ERR3428704,2019-07-12 08:35:54,2019-07-12 15:26:58,55493,16703393,0,301,9,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR3428/ERR3428704,ERX3452141,unspecified,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP113854,PRJEB31310,,530491,ERS3569714,SAMEA5766164,simple,1263854,anaerobic digester metagenome,SAMEA5766164,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2036019,,public,724D5715E3B6B0C92E3E286D9093B359,88DE3B0FAA66E0B13AE58AF018B9629D
ERR3428705,2019-07-12 08:35:54,2019-07-12 15:27:06,26274,7908474,0,301,4,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR3428/ERR3428705,ERX3452142,unspecified,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP113854,PRJEB31310,,530491,ERS3569715,SAMEA5766165,simple,1263854,anaerobic digester metagenome,SAMEA5766165,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2036019,,public,EC2643F065AE8C4E77F01555416824B3,A94DC615957397A46E17D19E460857E7
ERR3428706,2019-07-12 08:35:54,2019-07-12 15:27:14,49623,14936523,0,301,8,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR3428/ERR3428706,ERX3452143,unspecified,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP113854,PRJEB31310,,530491,ERS3569716,SAMEA5766166,simple,1263854,anaerobic digester metagenome,SAMEA5766166,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2036019,,public,1E39CC00D4E72A338E96BAC024C753F7,F1EDE9F6AF6C137E9D75C1FB8ACDDA9B
ERR3428707,2019-07-12 08:35:55,2019-07-12 15:27:19,55707,16767807,0,301,9,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR3428/ERR3428707,ERX3452144,unspecified,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP113854,PRJEB31310,,530491,ERS3569717,SAMEA5766167,simple,1263854,anaerobic digester metagenome,SAMEA5766167,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2036019,,public,83C5BA5A3543C67FB5E2C484DADBB0A8,5C42837DC2ADC041E1413D095CEDD550
ERR3428708,2019-07-12 08:35:55,2019-07-12 15:27:26,44138,13285538,0,301,7,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR3428/ERR3428708,ERX3452145,unspecified,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP113854,PRJEB31310,,530491,ERS3569718,SAMEA5766168,simple,1263854,anaerobic digester metagenome,SAMEA5766168,,,,,,,no,,,,,AALBORG UNIVERSITY,ERA2036019,,public,3A5EAF39EE5E15E1EE556CB8F13F0B4A,4CB90617E449937689E85126F980F302
